Title-Code,Title Name,Hindi Title,Register Serial No,Regn No.,Owner Name,State,Publication City/District,Periodity
PUNHIN01567,DAINIK JAGRAN,दैनिक जागरण,100892.0,PUNHIN/2007/28335,JAGRAN PRAKASHAN LTD,PUN,PATIALA,D
RAJHIN07775,AJMER JAGRAN,अजमेर जागरण,54657.0,54657/ 92,JITENDRA KUMAR NARSINGHANI,RAJ,AJMER,W
RAJHIN06338,JAGRAN,जागरण,3806.0,3806/ 58,BHAVANENDRA BARUA,RAJ,AJMER,W
RAJHIN07368,VIR BHARAT HADOTI JAGRAN,,56188.0,56188/ 92,ANIL KUMAR SHRIVASTA,RAJ,BARAN,F
RAJHIN06232,AMARJAGRAN SAMRAT,,48830.0,48830/ 90,JEEVAN SINGH KHANGROAT,RAJ,JAIPUR,A
RAJHIN10624,ADHIMAIK PUNJAGRAN,,57764.0,57764/ 93,NOT GIVEN,RAJ,JAIPUR,F
RAJHIN15260,CHAITANYA JAGRAN,,107615.0,RAJHIN/2010/35058,PREMCHAND DHAMNIYA,RAJ,JAIPUR,M
RAJHIN13652,MARUTHAR JAGRAN,मरूथार जागरण,91632.0,RAJHIN/2007/19075,KAMLESH KALLA,RAJ,JODHPUR,F
RAJHIN12806,BRAHMAN JAGRAN,,86344.0,RAJHIN/2004/13787,SUNITA VYAS,RAJ,JODHPUR,F
RAJHIN16943,PUNARJAGRAN SANDESH,पुनर्जागरण सन्देश,130468.0,RAJHIN/2014/57913,AJIT KUMAR SINGH,RAJ,JODHPUR,M
RAJHIN09487,JAIN JAGRAN ABHIYAN,,84634.0,RAJHIN/2004/12077,RANI MEHTA,RAJ,JODHPUR,M
RAJHIN15032,SAI JAGRAN,साईं जागरण,108219.0,RAJHIN/2010/35662,PUSPENDRA SINGH MEENA,RAJ,PALI,W
RAJHIN27860,AUDICHYA JAGRAN,,,,MOTILAL SHARMA,RAJ,UDAIPUR,BM
SIKHIN00007,SAMPURNA JAGRAN,सम्पूर्ण जागरण,132485.0,SIKHIN/2015/59930,NUTAN VERMA,SIK,EAST GANGTOK,D
TELENG00433,JAN JAGRAN YOGIC SCIENCES,,52757.0,52757/ 91,A. LOKENDER REDDY,TEL,HYDERABAD,M
UPHIN13782,JAGRAN,,46169.0,46169/ 86,JAGRAN PRAKASHAN LTD,UP,AGRA,D
UPHIN41436,JAISWAL JAIN JAGRAN,,114289.0,UPHIN/2011/41732,AKHIL BHARATIYA SHREE DIGAMBER JAISWAL JAIN (UPROCHIYA)SEWA NYAS.AGRA.,UP,AGRA,M
UPHIN44698,DAINIK JAGRAN,,126469.0,UPHIN/2013/53914,JAGRAN PRAKASHAN LTD,UP,ALIGARH,D
UPHIN05173,JYOTI JAGRAN,,48002.0,48002/ 88,KANTI SWARUP BANDHU,UP,ALIGARH,D
UPHIN02761,JAGRAN,,22024.0,22024/ 71,JAI CHANDRA ARYA,UP,ALLAHABAD,D
UPHIN44699,DAINIK JAGRAN,,126468.0,UPHIN/2013/53913,JAGRAN PRAKASHAN LTD,UP,ALLAHABAD,D
UPHIN51347,DEEPOTSAV JAGRAN,,,,DHARMPAL SINGH,UP,AYODHYA,D
UPHIN49261,ABHYUDAYA JAGRAN,,,,VIVEK SHUKLA,UP,BAHARAICH,D
UPHIN50112,SWADEEP JAGRAN,,,,DEEPAK KUMAR TIWARI,UP,BALLIA,D
UPHIN47144,DAINIK JAGRAN,दैनिक जागरण,137893.0,UPHIN/2014/65338,JAGRAN PRAKASHAN LTD,UP,BANDA,D
UPHIN49536,ARYAVART JAGRAN,,,,LAVKUSH SHARAN,UP,BARABANKI,W
UPHIN33367,DAINIK JAGRAN,,48020.0,48020/ 89,JAGRAN PRAKASHAN LTD,UP,BAREILLY,D
UPBIL05192,NAVSWAR JAGRAN,,,,DEVENDRA KUMAR SHARMA,UP,BAREILLY,M
UPHIN42918,LAKSHYA JAGRAN,लक्ष्य जागरण,129341.0,UPHIN/2012/56786,SATYAVEER PRAJAPATI,UP,BAREILLY,W
UPHIN20546,JANTA JAGRAN SHAKTI,,62604.0,62604/ 95,MOHAN KUMAR KHANDELWAL,UP,BAREILLY,W
UPHIN41953,JAN SHAKTI JAGRAN,,118793.0,UPHIN/2012/46236,BHRIGUNATH TRIPATHI,UP,BASTI,M
UPHIN06410,LODHI JAGRAN,,13519.0,13519/ 67,LODHI RAJPOOT ZILA SAMAJ,UP,ETAH,M
UPHIN33973,KRANTI JAGRAN,क्रांति जागरण,88612.0,UPHIN/2005/16055,"RAJIV SHARMA""RAJ""",UP,ETAH,W
UPHIN49748,KUTUMB JAGRAN,,,,GEETA PANDEY,UP,FAIZABAD,D
UPHIN20079,JAN JAGRAN TIMES,,61768.0,61768/ 95,VEENA BAGHEL,UP,GAZIABAD,W
UPHIN27349,SWATANTRA JAGRAN,,43388.0,43388/ 15,DURGA PRASAD,UP,GORAKHPUR,D
UPHIN26566,DAINIK JAGRAN,,26729.0,26729/ 75,JAGRAN PRAKASHAN LTD,UP,GORAKHPUR,D
UPHIN04961,JALAUN JAGRAN,जालौन जागरण,33104.0,33104/ 78,VINOD KUMAR MISHRA,UP,JALAUN,M
UPHIN49761,MORNING JAGRAN SAMACHAR,,,,JAYRAM,UP,JALAUN/ ORAI,BM
UPHIN14758,SURYA JAGRAN,,43362.0,43362/ 84,SURENDRA KUMAR AGARWAL,UP,JALAUN/ ORAI,D
UPHIN05010,JAUNPUR JAGRAN,जौनपुर जागरण,46222.0,46222/ 87,OM PRAKASH SINGH,UP,JAUNPUR,W
UPHIN13783,DAINIK JAGRAN,दैनिक जागरण,2018.0,2018/ 57,DAILY JAGRAN L.L.P.,UP,JHANSI,D
UPHIN42727,JAN JAN JAGRAN,,120502.0,UPHIN/2012/47946,NISHTHAWAN ADVERTISERS AND MEDIA PVT.LTD,UP,JHANSI,D
UPHIN20717,JAGTA RAHEGA JAGRAN,,63847.0,63847/ 95,CHANDRASEKHAR PANDAY,UP,JHANSI,W
UPHIN13545,DAINIK JAGRAN,दैनिक जागरण,2017.0,2017/ 57,JAGRAN PRAKASHAN LTD,UP,KANPUR,D
UPHIN05847,KHAS JAGRAN,,40304.0,40304/ 83,B. P. MISHRA,UP,KANPUR,W
UPHIN46248,MANOHAR JAGRAN,मनोहर जागरण,135550.0,UPHIN/2015/62995,LAKHAN LAL PANDEY,UP,KANPUR DEHAT,W
UPENG04360,JAGRAN JOURNAL OF MANAGEMENT AND TECHNOLOGY,,150759.0,UPENG/2019/78204,JAGRAN INSTITUTE OF MANAGEMENT,UP,KANPUR NAGAR,A
UPBIL03521,JAGRAN JOSH,जागरण जोश,100015.0,UPBIL/2007/27458,JAGRAN PRAKASHAN LTD,UP,KANPUR NAGAR,M
UPHIN35734,JAGRAN KHET KHALIHAN,जागरण खेत खलिहान,92330.0,UPHIN/2007/19773,JAGRAN PRAKASHAN LTD,UP,KANPUR NAGAR,M
UPHIN40453,DALIT JAGRAN TIMES,दलित जागरण टाइम्स,105941.0,UPHIN/2010/33384,DHEERAJ CHOWDHARY,UP,KANPUR NAGAR,W
UPHIN38553,KHAS JAGRAN,,46190.0,46190/ 87,B.P.MISHRA,UP,KANPUR NAGAR,W
UPHIN45776,SUPRABHAT JAGRAN,सुप्रभात जागरण,131463.0,UPHIN/2014/58908,ANKITA KAPOOR,UP,LUCKNOW,D
UPHIN38574,SANDHYA JAGRAN,,51801.0,51801/ 90,JAGRAN PRAKASHAN LTD.,UP,LUCKNOW,D
UPHIN51328,SWARAJ JAGRAN,,,UR,SHASHI SHANKAR TIWARI,UP,LUCKNOW,D
UPHIN26572,DAINIK JAGRAN,,35496.0,35496/ 79,JAGRAN PRAKASHAN LTD,UP,LUCKNOW,D
UPBIL05259,VINDHYAVASHINI JAGRAN,विंध्यवाशिनी जागरण,156841.0,UPBIL/2023/84286,RAO AJIT KUMAR SINGH,UP,LUCKNOW,D
UPHIN50663,VASUNDHARA JAGRAN,वसुंधरा जागरण,156719.0,UPHIN/2023/84164,NEETA DEVI,UP,LUCKNOW,D
UPHIN51237,GYAN JAGRAN,,,UR,PRITHVI PAL,UP,LUCKNOW,D
UPHIN51047,LUCKNOW JANHIT JAGRAN,लखनऊ जनहित जागरण,157689.0,UPHIN/2021/85134,K.K. SINGH,UP,LUCKNOW,D
UPHIN50181,JAGRAN MORCHA,जागरण मोर्चा,155298.0,UPHIN/2022/82743,KIRAN DIXIT,UP,LUCKNOW,D
UPHIN50202,SWABHIMAN JAGRAN,स्वाभिमान जागरण,156731.0,UPHIN/2021/84176,MANISH SRIVASTAVA,UP,LUCKNOW,D
UPHIN28160,NIRBHIK RASHTRIYA PUNARJAGRAN,,72354.0,72354/ 99,ALKA SHUKLA,UP,LUCKNOW,F
UPHIN50457,SARANSH JAGRAN,सारांश जागरण,156459.0,UPHIN/2022/83904,SHAILENDRA DIXIT,UP,LUCKNOW,F
UPHIN47436,AWADH JAGRAN,अवध जागरण,140477.0,UPHIN/2016/67922,ABHISHEK SHARMA,UP,LUCKNOW,M
UPHIN50917,YUG JAGRAN TIMES,,,,MOHAN KUMAR BHARATYA,UP,LUCKNOW,M
UPHIN08047,PAL KSHATRIYA JAGRAN,,13568.0,13568/ 66,VIJAYENDRA SINGH PAL,UP,LUCKNOW,M
UPHIN51300,LUCKNOW JANHIT JAGRAN,लखनऊ जनहित जागरण,158518.0,UPHIN/2019/85963,K.K. SINGH,UP,LUCKNOW,M
UPHIN08884,PROD JAGRAN,,51107.0,51107/ 87,SEVA GRAM JOURNAL LUCKNOW SANSTHA,UP,LUCKNOW,M
UPHIN49681,UDYOG JAGRAN,उधोग जागरण,157274.0,UPHIN/2021/84719,YOGENDRA TRIPATHI,UP,LUCKNOW,M
UPHIN51605,VASUNDHARA JAGRAN,,,UR,NEETA DEVI,UP,LUCKNOW,M
UPHIN42795,SRISHTI JAGRAN TIMES,सृष्टि जागरण टाइम्स,121797.0,UPHIN/2012/49242,CHANDRA KISHORE SHARMA,UP,LUCKNOW,W
UPHIN48466,AWADH JAGRAN,अवध जागरण,145683.0,UPHIN/2017/73128,ABHISHEK SHARMA,UP,LUCKNOW,W
UPHIN51606,VASUNDHARA JAGRAN,,,UR,NEETA DEVI,UP,LUCKNOW,W
UPHIN33422,SUPRABHAT JAGRAN,सुप्रभात जागरण,86217.0,UPHIN/2004/13660,ANKITA KAPOOR,UP,LUCKNOW,W
UPHIN48914,JANTA JAGRAN JANSABHA,जनता जागरण जनसभा,151911.0,UPHIN/2019/79356,KUSUM GUPTA,UP,LUCKNOW,W
UPHIN28934,LUCKNOW JANHIT JAGRAN,,72992.0,UPHIN/1994/00435,K.K. SINGH,UP,LUCKNOW,W
UPHIN14172,MAHILA JAGRAN,,4891.0,4891/ 57,BRAHMA CHARNI KRISHNA BAIL,UP,MATHURA,F
UPBIL05145,GINVANI JAGRAN,,,,MANOG JAIN,UP,MEERUT,BM
UPHIN26571,DAINIK JAGRAN,,43236.0,43236/ 84,JAGRAN PRAKASHAN LTD,UP,MEERUT,D
UPHIN18017,SAHARA JAGRAN TIMES,,56929.0,56929/ 93,ANAND GARG,UP,MEERUT,W
UPHIN26570,JAGRAN,,4921.0,4921/ 57,VISHWA NATH,UP,MEERUT,W
UPHIN44697,DAINIK JAGRAN,,126470.0,UPHIN/2013/53915,JAGRAN PRAKASHAN LTD,UP,MORADABAD,D
UPHIN40475,SRISHTI JAGRAN,सृष्टि जागरण,104945.0,UPHIN/2010/32388,RADHESHYAM LAL KARAN,UP,RAIBAREILLY,D
UPHIN50735,SHRI DEVVANSH JAGRAN,,,,ASHEESH KUMAR,UP,RAIBAREILLY,HY
UPHIN09200,RAMPUR JAGRAN,,23377.0,23377/ 72,RAJESHWARI CHOUDHARI,UP,RAMPUR,W
UPHIN44593,VAIDIK JAGRAN,वैदिक जागरण,129845.0,UPHIN/2014/57290,VIJAY PAL,UP,SAHARANPUR,M
UPHIN13936,JAGRAN,,4573.0,4573/ 57,SHARAD KUMAR MISHRA SHARD,UP,SAHRANPUR,W
