Title-Code,Title Name,Owner Name,State,Publication City/District
BIHHIN04075,BETTIAH TIMES,AFZAL QADRI & PARVEZ AKHTAR,BIH,PASHCHIM CHAMPARAN
BIHHIN11856,NABHAS TIMES,ABHISHEK KUMAR DWIVEDI,BIH,PASHCHIM CHAMPARAN
BIHHIN05253,KAYAM TIMES,MD QAYAM UDDIN,BIH,PATNA
BIHHIN05287,LOKTANTRA TIMES,MD. KHALID ANWAR,BIH,PATNA
BIHHIN02465,SHELENDRA VANI TIMES,SHAILENDRA KUMAR,BIH,PATNA
BIHURD00816,RAJHAT TIMES,KHURSHIDA PERVEEN,BIH,PATNA
BIHHIN01031,JAN SAMOOH TIMES,OM PRAKASH DEEP,BIH,PATNA
BIHHIN02110,RAVI BHUSHAN TIMES,NATH SINGH,BIH,PATNA
BIHENG00545,THE TIMES OF INDIA,"BENNETT, COLEMAN & CO.LTD",BIH,PATNA
BIHBIL02446,DUMRA TIMES,IMTEYAZ ALI KHAN,BIH,PATNA
BIHURD00754,QURRAH TIMES,SABITA SINGH,BIH,PATNA
BIHURD00771,AL WATAN TIMES,MOHAMMAD IQBAL SABA,BIH,PATNA
BIHURD00796,LATIF TIMES,SABRA KHATOON,BIH,PATNA
BIHHIN00736,D'SUZA TIMES,M.R. D'SOUZA,BIH,PATNA
