Title-Code,Title Name,Owner Name,State,Publication City/District
UPHIN40453,DALIT JAGRAN TIMES,DHEERAJ CHOWDHARY,UP,KANPUR NAGAR
UPHIN38553,KHAS JAGRAN,B.P.MISHRA,UP,KANPUR NAGAR
UPHIN45776,SUPRABHAT JAGRAN,ANKITA KAPOOR,UP,LUCKNOW
UPHIN38574,SANDHYA JAGRAN,JAGRAN PRAKASHAN LTD.,UP,LUCKNOW
UPHIN51328,SWARAJ JAGRAN,SHASHI SHANKAR TIWARI,UP,LUCKNOW
UPHIN26572,DAINIK JAGRAN,JAGRAN PRAKASHAN LTD,UP,LUCKNOW
UPBIL05259,VINDHYAVASHINI JAGRAN,RAO AJIT KUMAR SINGH,UP,LUCKNOW
UPHIN50663,VASUNDHARA JAGRAN,NEETA DEVI,UP,LUCKNOW
UPHIN51237,GYAN JAGRAN,PRITHVI PAL,UP,LUCKNOW
UPHIN51047,LUCKNOW JANHIT JAGRAN,K.K. SINGH,UP,LUCKNOW
UPHIN50181,JAGRAN MORCHA,KIRAN DIXIT,UP,LUCKNOW
UPHIN50202,SWABHIMAN JAGRAN,MANISH SRIVASTAVA,UP,LUCKNOW
UPHIN28160,NIRBHIK RASHTRIYA PUNARJAGRAN,ALKA SHUKLA,UP,LUCKNOW
UPHIN50457,SARANSH JAGRAN,SHAILENDRA DIXIT,UP,LUCKNOW
UPHIN47436,AWADH JAGRAN,ABHISHEK SHARMA,UP,LUCKNOW
UPHIN50917,YUG JAGRAN TIMES,MOHAN KUMAR BHARATYA,UP,LUCKNOW
UPHIN08047,PAL KSHATRIYA JAGRAN,VIJAYENDRA SINGH PAL,UP,LUCKNOW
UPHIN51300,LUCKNOW JANHIT JAGRAN,K.K. SINGH,UP,LUCKNOW
UPHIN08884,PROD JAGRAN,SEVA GRAM JOURNAL LUCKNOW SANSTHA,UP,LUCKNOW
UPHIN49681,UDYOG JAGRAN,YOGENDRA TRIPATHI,UP,LUCKNOW
UPHIN51605,VASUNDHARA JAGRAN,NEETA DEVI,UP,LUCKNOW
UPHIN42795,SRISHTI JAGRAN TIMES,CHANDRA KISHORE SHARMA,UP,LUCKNOW
UPHIN48466,AWADH JAGRAN,ABHISHEK SHARMA,UP,LUCKNOW
UPHIN51606,VASUNDHARA JAGRAN,NEETA DEVI,UP,LUCKNOW
UPHIN33422,SUPRABHAT JAGRAN,ANKITA KAPOOR,UP,LUCKNOW
UPHIN48914,JANTA JAGRAN JANSABHA,KUSUM GUPTA,UP,LUCKNOW
UPHIN28934,LUCKNOW JANHIT JAGRAN,K.K. SINGH,UP,LUCKNOW
UPHIN14172,MAHILA JAGRAN,BRAHMA CHARNI KRISHNA BAIL,UP,MATHURA
UPBIL05145,GINVANI JAGRAN,MANOG JAIN,UP,MEERUT
UPHIN26571,DAINIK JAGRAN,JAGRAN PRAKASHAN LTD,UP,MEERUT
UPHIN18017,SAHARA JAGRAN TIMES,ANAND GARG,UP,MEERUT
UPHIN26570,JAGRAN,VISHWA NATH,UP,MEERUT
UPHIN44697,DAINIK JAGRAN,JAGRAN PRAKASHAN LTD,UP,MORADABAD
UPHIN40475,SRISHTI JAGRAN,RADHESHYAM LAL KARAN,UP,RAIBAREILLY
UPHIN50735,SHRI DEVVANSH JAGRAN,ASHEESH KUMAR,UP,RAIBAREILLY
UPHIN09200,RAMPUR JAGRAN,RAJESHWARI CHOUDHARI,UP,RAMPUR
UPHIN44593,VAIDIK JAGRAN,VIJAY PAL,UP,SAHARANPUR
UPHIN13936,JAGRAN,SHARAD KUMAR MISHRA SHARD,UP,SAHRANPUR
UPHIN50689,JAGRAN GAON DEHAT KHABAR,ANJANI KUMAR,UP,SULTANPUR
UPHIN02760,DAINIK JAGRAN,JAGRAN PRAKASHAN LTD,UP,VARANASI
UPHIN41035,NARI JAGRAN,MEENA CHAUBEY,UP,VARANASI
UPHIN46713,BHARATIYA JAN JAGRAN KARM PATH,MANOJ KUMAR SRIVASTAVA,UP,VARANASI
UTTHIN00213,DAINIK JAGRAN,JAGRAN PRAKASHAN LTD,UTT,DEHRADUN
UTTHIN03359,DEVBHOOMI JAGRAN,ARACHNA DIXIT,UTT,DEHRADUN
UTTHIN00913,HIMALAYA JAGRAN,SATENDRA SINGH NEGI,UTT,DEHRADUN
UTTHIN05712,JANJAGRAN SAMACHAR,SUMIT KUMAR,UTT,DEHRADUN
UTTHIN01631,SURYA JAGRAN,SURENDRA KUMAR AGARWAL,UTT,DEHRADUN
UTTHIN02719,UTTRAKHAND JANJAGRAN,SAROJINI SEMWAL,UTT,DEHRADUN
UTTHIN02793,JAGRAN JYOTI,JYOTI BHATT,UTT,DEHRADUN
UTTHIN05350,JAN CHETNA JAGRAN,RAMESHWARI SINGH,UTT,DEHRADUN
UTTHIN03589,DAINIK JAGRAN,JAGRAN PRAKASHAN LTD,UTT,HALDWANI
UTTHIN05410,SATAT JAGRAN,REKHA YADAV,UTT,HARIDWAR
WBBEN08039,JAGRAN,BENOY KRISHNA DAS CHOWDHURY,WB,COOCHBEHAR
WBHIN01556,DAINIK JAGRAN,JAGRAN PRAKASHAN LTD,WB,KOLKATA
WBHIN00332,JAIN JAGRAN,AKHIL BHARATVARSHIYA DIGAMBER JAISWAL JAIN PARISHAD,WB,KOLKATA
WBHIN01591,DAINIK JAGRAN,JAGRAN PRAKASHAN LTD,WB,SILIGURI
